Serial Number,Title,Director,Cast,id,genres,imdb_id,overview,poster_path,runtime,vote_average,vote_count,combined_features,poster_url
1080,emancipation,Antoine Fuqua ,"Will Smith, Ben Foster, Charmaine Bingwa, Steven Ogg, Mustafa Shakir, Timothy Hutton",715931,"Drama,War,History",tt12530246,"Inspired by the gripping true story of a man who would do anything for his family—and for freedom. When Peter, an enslaved man, risks his life to escape and return to his family, he embarks on a perilous journey of love and endurance.",/s9sUK1vAaOcxJfKzNTszrNkPhkH.jpg,2 hrs 12 min,7.936,894,"emancipation Drama,War,History Inspired by the gripping true story of a man who would do anything for his family—and for freedom. When Peter, an enslaved man, risks his life to escape and return to his family, he embarks on a perilous journey of love and endurance. Antoine Fuqua ",https://image.tmdb.org/t/p/w500/s9sUK1vAaOcxJfKzNTszrNkPhkH.jpg
1081,spoiler alert,Michael Showalter ,"Jim Parsons, Ben Aldridge, Sally Field",507903,"Comedy,Drama,Romance",tt7775720,"Journalist Michael Ausiello embarks on a rollercoaster ride of emotions when Kit Cowan, his partner of 14 years, is diagnosed with terminal cancer.",/zdXoC9hgPieyT2x3TXcZGeRbpJZ.jpg,1 hrs 50 min,7.5,70,"spoiler alert Comedy,Drama,Romance Journalist Michael Ausiello embarks on a rollercoaster ride of emotions when Kit Cowan, his partner of 14 years, is diagnosed with terminal cancer. Michael Showalter ",https://image.tmdb.org/t/p/w500/zdXoC9hgPieyT2x3TXcZGeRbpJZ.jpg
1082,diary of a wimpy kid: rodrick rules,Luke Cormican ,"Brady Noon, Ethan William Childress, Hunter Dillon, Chris Diamantopoulos, Erica Cerra, Ed Asner",897192,"Animation,Comedy,Family",tt15847828,"A new school year, his brother Rodrick teases him over and over and over and over again. Will Greg manage to get along with him? Or will a secret ruin everything?",/iW6ixzkrvdrcxk0umiLZMtlSl9L.jpg,1 hrs 14 min,7.1,119,"diary of a wimpy kid: rodrick rules Animation,Comedy,Family A new school year, his brother Rodrick teases him over and over and over and over again. Will Greg manage to get along with him? Or will a secret ruin everything? Luke Cormican ",https://image.tmdb.org/t/p/w500/iW6ixzkrvdrcxk0umiLZMtlSl9L.jpg
1083,darby and the dead,Silas Howard ,"Riele Downs, Auliʻi Cravalho, Chosen Jacobs, Asher Angel, Wayne Knight, Derek Luke, Tony Danza",898308,"Comedy,Fantasy",tt15745226,"After Darby Harper suffered a near-death experience as a child, she gained the ability to see ghosts. To combat the existential boredom of high school, she runs a side business counseling local spirits in her spare time. When an unexpected occurrence happens between Darby and Capri, the most popular girl at her high school, Darby reluctantly agrees to help her and in the process learns how to fit in with the living world again.",/v1mtYW0qShlS3YFy10D8GqTk6LI.jpg,1 hrs 40 min,6.2,49,"darby and the dead Comedy,Fantasy After Darby Harper suffered a near-death experience as a child, she gained the ability to see ghosts. To combat the existential boredom of high school, she runs a side business counseling local spirits in her spare time. When an unexpected occurrence happens between Darby and Capri, the most popular girl at her high school, Darby reluctantly agrees to help her and in the process learns how to fit in with the living world again. Silas Howard ",https://image.tmdb.org/t/p/w500/v1mtYW0qShlS3YFy10D8GqTk6LI.jpg
1084,lady chatterley's lover,Laure de Clermont-Tonnerre ,"Emma Corrin, Jack O'Connell, Joely Richardson",814338,"Drama,Romance",tt14369780,Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate.,/aSgl2DxPG3DuQXoaHr500KeULmT.jpg,2 hrs 6 min,6.675,275,"lady chatterley's lover Drama,Romance Unhappily married aristocrat Lady Chatterley begins a torrid affair — and falls deeply in love — with the gamekeeper on her husband's country estate. Laure de Clermont-Tonnerre ",https://image.tmdb.org/t/p/w500/aSgl2DxPG3DuQXoaHr500KeULmT.jpg
1085,the eternal daughter,Joanna Hogg ,"Tilda Swinton, Joseph Mydell, Carly-Sophia Davies",790867,"Drama,Mystery",tt13874422,"An artist and her elderly mother confront long-buried secrets when they return to a former family home, now a hotel haunted by its mysterious past.",/kyv8tPXx3mKchYzVmA3VckKoJDi.jpg,1 hrs 36 min,6.3,41,"the eternal daughter Drama,Mystery An artist and her elderly mother confront long-buried secrets when they return to a former family home, now a hotel haunted by its mysterious past. Joanna Hogg ",https://image.tmdb.org/t/p/w500/kyv8tPXx3mKchYzVmA3VckKoJDi.jpg
1086,empire of light,Sam Mendes ,"Olivia Colman, Micheal Ward, Tom Brooke, Tanya Moodie, Hannah Onslow, Crystal Clarke, Toby Jones, Colin Firth",814757,"Drama,Romance",tt14402146,"The duty manager of a seaside cinema, who is struggling with her mental health, forms a relationship with a new employee on the south coast of England in the 1980s.",/h84SnIQF91Gz2Fv1OpMJ3245t4i.jpg,1 hrs 55 min,6.664,345,"empire of light Drama,Romance The duty manager of a seaside cinema, who is struggling with her mental health, forms a relationship with a new employee on the south coast of England in the 1980s. Sam Mendes ",https://image.tmdb.org/t/p/w500/h84SnIQF91Gz2Fv1OpMJ3245t4i.jpg
1087,night at the museum: kahmunrah rises again,Matt Danner ,"Joshua Bassett, Jamie Demetriou, Alice Isaaz, Gillian Jacobs, Joseph Kamal, Thomas Lennon, Zachary Levi, Jack Whitehall, Bowen Yang, Steve Zahn",751741,"Animation,Comedy,Family,Fantasy",tt13623880,"Nick Daley is following in his father's footsteps as night watchman at the American Museum of Natural History, so he knows what happens when the sun goes down. But when the maniacal ruler Kahmunrah escapes, it is up to Nick to save the museum once and for all.",/mkRQn520JQD07BNP03NK3iKCaPD.jpg,1 hrs 17 min,6.751,205,"night at the museum: kahmunrah rises again Animation,Comedy,Family,Fantasy Nick Daley is following in his father's footsteps as night watchman at the American Museum of Natural History, so he knows what happens when the sun goes down. But when the maniacal ruler Kahmunrah escapes, it is up to Nick to save the museum once and for all. Matt Danner ",https://image.tmdb.org/t/p/w500/mkRQn520JQD07BNP03NK3iKCaPD.jpg
1088,the whale,Darren Aronofsky ,"Brendan Fraser, Sadie Sink, Hong Chau, Ty Simpkins, Samantha Morton",785084,Drama,tt13833688,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,/jQ0gylJMxWSL490sy0RrPj1Lj7e.jpg,1 hrs 56 min,8.007,2508,the whale Drama A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption. Darren Aronofsky ,https://image.tmdb.org/t/p/w500/jQ0gylJMxWSL490sy0RrPj1Lj7e.jpg
1089,something from tiffany's,Daryl Wein ,"Zoey Deutch, Kendrick Sampson, Ray Nicholson, Shay Mitchell",916053,"Romance,Comedy",tt16233952,"Doesn't every girl dream of getting... something from Tiffany's? On 5th Avenue in New York City, where nothing compares to the magic and excitement of the holidays, where the streets blaze with lights, and windows dazzle, a special box from Tiffany could change the course of a person's life. Or several lives. Rachel and Gary are happy enough but not quite ready for that big commitment. Ethan and Vanessa, the perfect picture, are just about to make it official. When a simple mix-up of gifts causes all of their paths to cross, it sets off a series of twists and unexpected discoveries that lead them where they're truly meant to be. Because love -- like life -- is full of surprises.",/hzQV66zQHqWKRjLVphISNOqadIp.jpg,1 hrs 27 min,6.997,184,"something from tiffany's Romance,Comedy Doesn't every girl dream of getting... something from Tiffany's? On 5th Avenue in New York City, where nothing compares to the magic and excitement of the holidays, where the streets blaze with lights, and windows dazzle, a special box from Tiffany could change the course of a person's life. Or several lives. Rachel and Gary are happy enough but not quite ready for that big commitment. Ethan and Vanessa, the perfect picture, are just about to make it official. When a simple mix-up of gifts causes all of their paths to cross, it sets off a series of twists and unexpected discoveries that lead them where they're truly meant to be. Because love -- like life -- is full of surprises. Daryl Wein ",https://image.tmdb.org/t/p/w500/hzQV66zQHqWKRjLVphISNOqadIp.jpg
